index_y,day,dteday_x,weathersit,temp_celsius,windspeed_kh,atemp,hum,dteday_y,season,yr,mnth,holiday,weekday,workingday,casual,registered,cnt
0,1,01/01/2011,2,14.110847,10.749882,0.363625,80.5833,01/01/2011,1,0,1,0,6,0,331,654,985
1,2,02/01/2011,2,14.902598,16.652113,0.353739,69.6087,02/01/2011,1,0,1,0,0,0,131,670,801
2,3,03/01/2011,1,8.050924,16.636703,0.189405,43.7273,03/01/2011,1,0,1,0,1,1,120,1229,1349
3,4,04/01/2011,1,8.2,10.739832,0.212122,59.0435,04/01/2011,1,0,1,0,2,1,108,1454,1562
4,5,05/01/2011,1,9.305237,12.5223,0.22927,43.6957,05/01/2011,1,0,1,0,3,1,82,1518,1600
5,6,06/01/2011,1,8.378268,6.0008684,0.233209,51.8261,06/01/2011,1,0,1,0,4,1,88,1518,1606
6,7,07/01/2011,2,8.057402,11.304642,0.208839,49.8696,07/01/2011,1,0,1,0,5,1,148,1362,1510
7,8,08/01/2011,2,6.765,17.875868,0.162254,53.5833,08/01/2011,1,0,1,0,6,0,68,891,959
8,9,09/01/2011,1,5.671653,24.25065,0.116175,43.4167,09/01/2011,1,0,1,0,0,0,54,768,822
9,10,10/01/2011,1,6.184153,14.958889,0.150888,48.2917,10/01/2011,1,0,1,0,1,1,41,1280,1321
10,11,11/01/2011,2,6.932731,8.182844,0.191464,68.6364,11/01/2011,1,0,1,0,2,1,43,1220,1263
11,12,12/01/2011,1,7.081807,20.410009,0.160473,59.9545,12/01/2011,1,0,1,0,3,1,25,1137,1162
12,13,13/01/2011,1,6.765,20.167,0.150883,47.0417,13/01/2011,1,0,1,0,4,1,38,1368,1406
13,14,14/01/2011,1,6.59567,8.478716,0.188413,53.7826,14/01/2011,1,0,1,0,5,1,54,1367,1421
14,15,15/01/2011,2,9.566653,10.583521,0.248112,49.875,15/01/2011,1,0,1,0,6,0,222,1026,1248
15,16,16/01/2011,1,9.498347,12.625011,0.234217,48.375,16/01/2011,1,0,1,0,0,0,251,953,1204
16,17,17/01/2011,2,7.209153,12.999139,0.176771,53.75,17/01/2011,1,0,1,1,1,0,117,883,1000
17,18,18/01/2011,2,8.883347,9.833925,0.232333,86.1667,18/01/2011,1,0,1,0,2,1,9,674,683
18,19,19/01/2011,2,11.979134,13.957239,0.298422,74.1739,19/01/2011,1,0,1,0,3,1,78,1572,1650
19,20,20/01/2011,2,10.728347,13.125568,0.25505,53.8333,20/01/2011,1,0,1,0,4,1,83,1844,1927
20,21,21/01/2011,1,7.2775,23.667214,0.157833,45.7083,21/01/2011,1,0,1,0,5,1,75,1468,1543
21,22,22/01/2011,1,2.4243464,11.52199,0.0790696,40.0,22/01/2011,1,0,1,0,6,0,93,888,981
22,23,23/01/2011,1,3.9573897,16.5222,0.0988391,43.6522,23/01/2011,1,0,1,0,0,0,150,836,986
23,24,24/01/2011,1,3.9930433,10.60811,0.11793,49.1739,24/01/2011,1,0,1,0,1,1,86,1330,1416
24,25,25/01/2011,2,9.162598,8.696332,0.234526,61.6957,25/01/2011,1,0,1,0,2,1,186,1799,1985
25,26,26/01/2011,3,8.9175,19.68795,0.2036,86.25,26/01/2011,1,0,1,0,3,1,34,472,506
26,27,27/01/2011,1,7.995,7.627079,0.2197,68.75,27/01/2011,1,0,1,0,4,1,15,416,431
27,28,28/01/2011,2,8.342598,8.2611,0.223317,79.3043,28/01/2011,1,0,1,0,5,1,38,1129,1167
28,29,29/01/2011,1,8.057402,9.739455,0.212126,65.1739,29/01/2011,1,0,1,0,6,0,123,975,1098
29,30,30/01/2011,1,8.877402,4.9568342,0.250322,72.2174,30/01/2011,1,0,1,0,0,0,140,956,1096
30,31,31/01/2011,2,7.414153,12.541864,0.18625,60.375,31/01/2011,1,0,1,0,1,1,42,1459,1501
31,32,01/02/2011,2,7.879134,3.565271,0.23453,82.9565,01/02/2011,1,0,2,0,2,1,47,1313,1360
32,33,02/02/2011,2,10.66,17.708636,0.254417,77.5417,02/02/2011,1,0,2,0,3,1,72,1454,1526
33,34,03/02/2011,1,7.665237,18.609384,0.177878,43.7826,03/02/2011,1,0,2,0,4,1,61,1489,1550
34,35,04/02/2011,2,8.663464,8.565213,0.228587,58.5217,04/02/2011,1,0,2,0,5,1,88,1620,1708
35,36,05/02/2011,2,9.566653,10.792293,0.243058,92.9167,05/02/2011,1,0,2,0,6,0,100,905,1005
36,37,06/02/2011,1,11.719153,9.5006,0.291671,56.8333,06/02/2011,1,0,2,0,0,0,354,1269,1623
37,38,07/02/2011,1,11.138347,3.0423561,0.303658,73.8333,07/02/2011,1,0,2,0,1,1,120,1592,1712
38,39,08/02/2011,1,9.054153,24.25065,0.198246,53.7917,08/02/2011,1,0,2,0,2,1,64,1466,1530
39,40,09/02/2011,2,5.526103,12.652213,0.144283,49.4783,09/02/2011,1,0,2,0,3,1,53,1552,1605
40,41,10/02/2011,1,5.918268,14.869645,0.149548,43.7391,10/02/2011,1,0,2,0,4,1,47,1491,1538
41,42,11/02/2011,1,7.752731,7.27285,0.213509,50.6364,11/02/2011,1,0,2,0,5,1,149,1597,1746
42,43,12/02/2011,1,9.1225,13.625589,0.232954,54.4167,12/02/2011,1,0,2,0,6,0,288,1184,1472
43,44,13/02/2011,1,12.977402,17.479161,0.324113,45.7391,13/02/2011,1,0,2,0,0,0,397,1192,1589
44,45,14/02/2011,1,17.015,27.999836,0.39835,37.5833,14/02/2011,1,0,2,0,1,1,208,1705,1913
45,46,15/02/2011,1,10.909567,19.522058,0.254274,31.4348,15/02/2011,1,0,2,0,2,1,140,1675,1815
46,47,16/02/2011,1,13.048701,16.869997,0.3162,42.3478,16/02/2011,1,0,2,0,3,1,218,1897,2115
47,48,17/02/2011,1,17.869153,15.416968,0.428658,50.5,17/02/2011,1,0,2,0,4,1,259,2216,2475
48,49,18/02/2011,1,21.388347,17.749975,0.511983,51.6667,18/02/2011,1,0,2,0,5,1,579,2348,2927
49,50,19/02/2011,1,16.365847,34.000021,0.391404,18.7917,19/02/2011,1,0,2,0,6,0,532,1103,1635
50,51,20/02/2011,1,11.693897,14.956745,0.27733,40.7826,20/02/2011,1,0,2,0,0,0,639,1173,1812
51,52,21/02/2011,2,12.436653,20.625682,0.284075,60.5,21/02/2011,1,0,2,1,1,0,195,912,1107
52,53,22/02/2011,1,7.471102,13.110761,0.186033,57.7778,22/02/2011,1,0,2,0,2,1,74,1376,1450
53,54,23/02/2011,1,9.091299,6.305571,0.245717,42.3043,23/02/2011,1,0,2,0,3,1,139,1778,1917
